,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,gps_code,iata_code
0,small_airport,Ameis Airstrip,48.657837,16.540234,,AT,,
1,small_airport,Sport airfield Ciljuge,44.438152313232,18.685613632202,725.0,BA,LQCG,
2,small_airport,Sportski Aerodrom Zalužani,44.8482,17.222826,,BA,LQBZ,
3,small_airport,Brod Airstrip,44.846235,18.761888,337.0,BA,,
4,small_airport,Trustikovo Airstrip,42.414635,27.294455,40.0,BG,,
5,small_airport,Zagortsi Airfield,42.403419,27.070246,368.0,BG,,
6,small_airport,Svishtov Airfield,43.618179,25.283663,60.0,BG,,
7,small_airport,Selanovtsi Airfield,43.655277,24.010071,535.0,BG,,
8,small_airport,Voysil Airfield,42.21756,24.639126,601.0,BG,,
9,small_airport,Dve Mogili Airfield,43.606655,25.890982,837.0,BG,LBDM,
10,small_airport,Trastenik Airfield,43.665955,25.866686,450.0,BG,,
11,small_airport,Raikova Mogila Airfield,41.815411,26.304062,690.0,BG,,
12,small_airport,Ostrovo,43.6938742,26.5799644,,BG,,
13,small_airport,Krivnya Agricultural Airfield,43.66307,26.422251,984.0,BG,,
14,small_airport,Belchinski Bani Airstrip,42.37488,23.39322,,BG,,
15,small_airport,Gabrovo Airstrip,42.9482,25.35998,,BG,,
16,small_airport,Blagoevo Airfield,43.455488,26.431655,1185.0,BG,,
17,small_airport,Staro Selishte,43.6502778,26.7541667,,BG,,
18,small_airport,Bozhurishte,42.7533821,23.2028015,,BG,,
19,small_airport,Draganovtsi Airfield,42.943042,25.169528,,BG,LBDR,
20,small_airport,Breznik,42.6933052,22.8965594,699.0,BG,LBBR,
21,small_airport,Slivnitsa,42.8441447,23.0144436,,BG,,
22,small_airport,Veren Airfield,42.3326251,25.1695166,,BG,,
23,small_airport,Orliak Airfield,43.6344188,27.3963294,,BG,,
24,small_airport,Suvorovo Airstrip,43.3587179,27.5827284,,BG,,
25,small_airport,Branichevo Airstrip,43.6657816,27.1007895,,BG,,
26,small_airport,Air Belozem,42.216975,25.064943,,BG,,
27,small_airport,Selskostopansko Airstrip,42.544095,26.673452,837.0,BG,,
28,small_airport,Selskostopansko Airstrip,43.236482,27.045656,400.0,BG,,
29,small_airport,Nikola Kozlevo Airstrip,43.5533648,27.2228242,,BG,,
30,small_airport,Yunatsite Airstrip,42.232673,24.245056,766.0,BG,,
31,small_airport,Mogilishte Airstrip,43.4915599,28.3519964,,BG,,
32,small_airport,Dzhulyunitsa Airstrip,43.5852521,25.6144416,,BG,,
33,small_airport,Rakovski Airstrip,42.293513,24.947311,,BG,,
34,small_airport,Pishtigovo Airstrip,42.2307252,24.4383034,,BG,,
