,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,162,59,0,117,320,582,807,746,387,667,342,598,1200,715,757,391,892,228,144,261,228,59,57,19,0
2,333,1011,1219,1021,1818,2630,2198,2549,4293,3887,4679,5904,6330,5465,5938,4811,5231,5024,3292,2712,1114,870,455,78,16
3,546,3661,3776,3914,5981,6165,6403,7239,8485,13140,11075,17018,16240,17791,14503,14404,13430,11657,10109,5994,3103,1784,838,228,14
4,986,2267,2989,4239,4976,6111,7898,9047,10909,13373,13090,14252,14513,14783,14736,11511,11146,9358,9065,4227,2993,1261,434,119,17
5,691,1472,1797,2383,3352,4912,5480,5568,6459,7336,7213,7204,7400,6414,6115,6772,5482,4978,4585,2592,1142,389,190,24,12
6,223,802,1824,2549,4000,4385,5355,5197,5841,7015,5780,7929,5277,5712,8879,6435,5093,4777,4069,3025,1722,591,215,69,1
7,476,805,1005,1845,1879,2690,3519,3923,5270,4820,3473,4734,3835,4464,4980,4400,2943,2416,1935,1353,845,442,75,2,23
8,291,918,943,1428,2437,2573,3063,3797,3783,3072,3332,3557,3476,3488,4266,3424,2503,2165,2060,957,756,213,56,30,0
9,245,476,1355,2482,2657,4474,2772,4177,5378,6185,5358,5579,4655,4416,6203,4286,3000,2698,1820,1373,864,431,152,19,0
10,134,668,877,1864,2543,3049,3633,3430,5054,4604,5104,3894,3941,4160,3827,3042,2754,2096,1404,1142,758,252,135,26,17
11,720,1525,1604,3119,4422,5916,6515,5888,7154,6742,6439,6434,5913,6369,6250,4970,4298,3945,2360,1665,904,281,157,9,0
12,307,770,1463,4053,4288,6056,5172,5963,5117,5860,4585,4801,5780,5604,5639,4318,3145,2365,1585,1292,786,520,51,7,0
13,378,1686,1823,4112,5116,8154,8083,8093,8183,7552,6734,6112,6854,6774,6731,5280,4115,3083,2173,1237,843,264,62,17,2
14,1299,2721,5664,10460,13675,13630,14985,15412,16641,17015,15251,13451,14716,13723,11331,9734,6712,5309,3293,2433,1355,388,140,20,0
15,3612,6825,10985,18249,23365,27616,24683,24204,26577,28231,22126,22785,23829,22089,21100,16070,10871,7781,4979,2805,1871,387,184,23,4
16,5851,13222,17425,25807,35020,41302,37424,38381,41477,39336,31786,34960,34888,30955,26350,19851,14046,10123,6885,4321,2042,849,230,55,7
17,5777,14952,19993,33976,48528,50301,48278,47909,50229,48639,43807,43198,41812,34786,30524,24902,16864,11994,7799,4125,2520,805,145,24,0
18,5447,12671,17780,27760,38526,43906,38163,37744,39496,40731,32347,34910,34244,29333,25450,18529,13243,8575,5784,3377,1709,713,164,63,12
19,3994,6628,11494,16543,22246,25748,22389,21912,23271,22494,19116,18340,18927,14644,14426,9892,7218,4970,3515,1665,958,244,54,17,0
20,1068,2794,4070,6400,8533,10246,9566,9937,8603,8663,6745,7149,6529,5823,4684,3133,2228,1759,1076,615,333,127,20,7,0
21,166,349,284,503,233,542,407,339,223,406,302,285,233,290,128,71,77,52,22,4,15,3,0,0,0
