distance_bin,"(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(200, 210]","(210, 220]","(220, 230]","(230, 240]","(240, 250]","(250, 260]","(260, 270]","(270, 280]","(280, 290]"
"(0, 10]",65,2012,7358,19095,31863,20644,4694,298,1260,3136,4359,2855,2256,1556,4016,3374,2704,4819,4896,6283,6086,26065,25740,20738,9707,4823,3162
"(10, 20]",26,1512,3274,5291,12065,6059,1533,0,524,1413,1617,1002,909,1369,1714,2079,1027,2684,2637,2987,3396,12231,11797,9565,3299,1252,1724
"(20, 30]",0,1153,4170,6966,12909,6722,2105,127,350,889,1396,1414,1345,1474,1648,2338,1037,3460,3158,3526,3854,14031,12117,8879,4333,2146,2026
"(30, 40]",0,1614,4485,8615,14690,8484,2387,72,761,1784,2076,1229,831,1004,2707,2735,1830,3947,3402,4876,4071,13440,13496,9923,4529,2929,2432
"(40, 50]",99,1867,4274,9896,17008,10112,2577,278,431,2070,3305,2114,1251,1404,2033,3218,1371,4216,4135,5091,4784,13234,15001,9582,4686,2713,2208
"(50, 60]",157,2673,4284,9620,18675,10010,2959,515,269,2045,2472,1008,1107,1376,2630,3415,1549,5004,3546,4840,4256,13210,11976,9697,4525,2555,2070
"(60, 70]",48,2992,5380,12739,19336,12816,3399,706,673,2845,2952,1271,1488,1047,2736,3225,1291,3773,3743,3918,4087,12601,10832,9217,4087,2198,1800
"(70, 80]",2,2115,6495,12926,25200,17586,3114,210,602,2627,3269,1516,1893,1682,3477,3404,1143,4630,3461,4509,4434,14747,11870,8757,4320,2513,2288
"(80, 90]",108,4111,9988,18208,32586,18473,4369,372,996,2654,3839,2154,2077,2338,2908,3500,1766,4491,3690,5551,4916,13842,13016,9438,4136,2247,1952
"(90, 100]",114,4051,8714,18921,34441,20397,5219,285,630,2766,4685,2298,1784,1811,2851,3159,1206,5560,4105,4654,4069,13686,12077,9091,3610,1850,1493
"(100, 110]",110,3356,7807,17007,34883,19359,4217,194,709,2403,5189,2270,2077,2070,3293,3524,1548,4708,3637,4156,3290,12189,11021,8023,3053,1886,1562
"(110, 120]",0,3746,8223,15776,30379,17752,4176,208,1130,2557,3276,1605,2137,2127,2737,2973,1439,4036,3965,4006,3607,10479,9560,7422,2532,1337,820
"(120, 130]",220,3109,6913,14152,27722,16644,4057,72,387,2224,3482,1272,2210,1743,2621,2808,1078,3177,2689,3365,2740,9357,7669,6093,2387,1207,826
"(130, 140]",328,3905,6731,13418,23290,16203,3712,421,541,1880,2716,1486,1621,1208,1991,2274,829,2933,2088,2707,2403,6104,5160,4071,1495,611,580
"(140, 150]",139,2768,6190,13374,19782,12527,2496,283,661,2513,2716,1229,1095,1171,1778,1504,671,2420,1656,2229,1673,5166,4614,2987,1361,583,423
"(150, 160]",65,2593,5967,10525,19959,11068,3350,180,384,1720,2724,992,1074,949,1598,1412,641,2105,1535,1403,1528,4496,3865,2585,1166,502,448
"(160, 170]",64,1725,5631,9435,17236,8549,2570,224,165,1595,2313,744,751,777,1281,1100,534,1822,931,1284,955,2648,2443,1672,742,311,261
"(170, 180]",59,2027,4187,7224,11942,6835,1700,73,399,1390,894,649,520,484,896,880,352,934,593,1017,543,1630,1416,1051,500,193,172
"(180, 190]",148,1577,3230,5416,9245,5794,1025,129,135,737,1322,306,316,334,890,678,207,646,535,671,423,1250,1045,647,325,144,149
"(190, 200]",0,1191,2630,3386,6000,3590,852,70,122,572,1238,507,323,285,360,382,118,422,249,397,252,662,619,360,234,71,79
"(200, 210]",1,512,1266,2016,3311,2029,771,57,60,563,400,152,148,145,208,165,65,268,124,129,170,383,252,215,47,31,29
"(210, 220]",5,228,796,837,1824,1055,215,13,87,195,264,188,46,19,38,80,34,73,84,32,31,70,99,58,39,10,6
"(220, 230]",0,122,431,644,1104,537,99,0,14,112,100,30,5,17,23,62,15,28,27,20,8,49,31,14,7,5,8
"(230, 240]",0,27,61,78,263,110,11,0,0,6,8,2,7,5,20,4,0,12,1,0,0,10,15,4,9,2,2
"(240, 250]",0,0,2,6,85,51,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0
"(250, 260]",0,0,8,0,8,26,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"(260, 270]",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
