distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]"
"(0, 10]",1153,12399,4792,1586,2046,4274,5291,13466,16704,7941,4053,951,637
"(10, 20]",1504,13416,6986,2095,3044,5850,7899,21255,26566,14186,6921,2639,802
"(20, 30]",1568,15749,5897,2144,3787,5492,6847,16361,21882,12232,5634,1801,571
"(30, 40]",2118,14400,6111,1679,1837,4487,4283,13009,14889,7263,3429,816,430
"(40, 50]",2499,15973,5142,1167,1910,4266,4952,8838,12913,6127,3278,591,323
"(50, 60]",2494,14158,5131,1359,1548,3453,3773,7775,8403,4411,2286,813,221
"(60, 70]",2659,15659,6650,1492,1584,3563,3441,6676,7670,3635,1739,571,151
"(70, 80]",1756,14475,5900,1305,2130,2892,2576,5840,6314,3541,858,486,111
"(80, 90]",2360,13716,5014,1214,1291,2507,2301,4806,5578,3036,1080,263,54
"(90, 100]",1230,10103,3730,773,1234,2017,1847,3629,4504,2472,1098,438,86
"(100, 110]",973,6061,2713,385,869,1226,891,1810,2249,1256,600,192,68
"(110, 120]",557,3720,1810,461,423,655,647,992,1258,531,279,151,44
"(120, 130]",457,1660,910,325,76,360,243,551,582,343,152,15,0
"(130, 140]",197,1042,382,104,32,125,79,249,236,201,40,15,1
"(140, 150]",89,522,344,142,43,63,72,125,80,43,67,7,1
"(150, 160]",29,151,50,2,2,8,20,28,30,5,20,5,0
"(160, 170]",5,3,25,0,0,3,0,1,8,2,1,1,0
"(170, 180]",14,23,1,0,0,6,0,0,6,0,0,0,0
"(180, 190]",0,10,0,0,0,6,0,0,1,0,0,0,0
"(190, 200]",0,1,0,0,0,0,0,0,0,0,0,0,0
