distance_bin,"(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(200, 210]","(210, 220]","(230, 240]","(270, 280]"
"(0, 10]",42,501,534,2389,808,162,0,95,169,0,22,608,341,1548,1604,1830,4736,4489,1842,675,38,85,46
"(10, 20]",307,1707,6025,10861,5295,481,197,935,912,1330,131,3676,896,6116,7450,8612,21670,18921,7743,2724,767,493,792
"(20, 30]",176,1686,6988,10073,2683,401,176,945,1130,1012,379,2794,974,4542,5558,6362,16086,17591,6767,2687,517,559,726
"(30, 40]",250,1577,4615,7564,3463,298,14,1316,217,1573,436,1661,579,4110,4636,5006,14003,11386,4741,1423,370,510,480
"(40, 50]",114,1489,4425,7876,2518,389,294,733,699,638,290,1392,406,4226,4218,3800,9074,10172,4193,986,233,431,411
"(50, 60]",262,1318,4684,6739,2365,252,3,433,285,523,108,1748,642,2415,2491,2566,7502,5980,3024,605,118,291,215
"(60, 70]",261,1558,5784,8403,2235,318,12,618,749,905,412,1596,333,2695,2085,2138,5702,4750,1865,639,128,256,187
"(70, 80]",573,3610,10431,14576,4093,612,166,1374,611,938,703,2677,855,2983,4373,4201,8971,7714,2577,856,313,277,495
"(80, 90]",527,3641,9734,17283,4449,706,329,1528,1111,1576,677,3278,708,4053,4112,3717,9281,8136,3472,715,317,491,180
"(90, 100]",423,3925,9856,16340,4294,882,433,1852,976,1500,563,3109,742,4098,3993,3695,10490,8441,2747,841,261,459,711
"(100, 110]",106,3453,7718,13751,4687,780,103,920,1225,1152,437,1956,549,3120,3220,2761,6015,5588,2111,592,140,233,364
"(110, 120]",382,2198,6106,8192,3047,340,149,750,884,650,366,2253,509,2811,2321,2136,4193,4100,1711,441,118,49,354
"(120, 130]",245,1659,4561,6585,2464,361,99,721,789,545,256,1577,361,1856,1700,1416,3197,2874,953,321,64,105,162
"(130, 140]",301,1657,3406,5692,2036,416,109,375,374,355,105,648,227,1200,1325,957,2821,1604,870,241,67,83,98
"(140, 150]",166,1998,3655,7279,1759,287,7,642,230,562,109,876,301,1086,862,901,2126,1529,783,88,41,38,115
"(150, 160]",398,1083,4730,6912,2586,356,50,651,435,613,107,752,165,1285,1652,1198,1984,1751,895,263,46,68,288
"(160, 170]",261,1604,5036,8228,2430,350,69,437,298,431,196,822,293,1517,1709,1003,2140,1509,648,113,45,121,131
"(170, 180]",385,2049,4838,8826,2505,204,20,215,425,572,96,817,221,1236,1115,804,1937,1901,460,217,22,151,164
"(180, 190]",147,1153,3394,6257,2358,277,31,282,365,410,143,773,231,1310,1130,735,1644,1628,462,102,43,105,120
"(190, 200]",36,638,1823,3239,1338,91,0,267,212,316,67,495,135,565,607,410,1045,1068,299,57,18,30,81
"(200, 210]",48,657,1253,2719,728,37,24,159,292,242,36,540,108,617,648,551,1556,1188,379,155,10,58,46
"(210, 220]",19,370,978,1642,638,105,8,156,38,315,154,400,153,803,607,553,1609,1073,467,152,40,37,66
"(220, 230]",24,232,625,1095,477,103,41,108,123,111,26,280,50,373,686,404,1126,1102,361,58,27,39,43
"(230, 240]",14,269,545,1229,253,20,2,160,31,65,36,244,52,294,336,497,1104,952,223,87,25,41,18
"(240, 250]",51,151,333,739,159,10,4,34,20,30,5,174,15,127,281,345,510,477,142,37,5,15,7
"(250, 260]",31,78,154,396,99,48,0,5,17,19,15,64,3,15,82,75,182,110,60,7,12,6,2
"(260, 270]",0,57,118,170,67,0,0,2,0,1,11,30,3,14,14,1,35,36,20,1,0,0,0
"(270, 280]",0,20,13,49,37,0,0,0,0,3,0,12,0,0,4,1,0,0,4,0,0,0,0
"(280, 290]",0,0,31,30,24,0,0,0,0,17,0,1,0,0,23,0,0,0,0,0,0,0,0
"(290, 300]",0,0,2,17,43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
