distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(200, 210]","(210, 220]","(220, 230]","(250, 260]"
"(0, 10]",3054,1932,1272,2233,910,245,241,330,1049,3346,3767,4313,4422,6170,5068,10263,8608,3033,1143,1165,147,232,174,80
"(10, 20]",8819,10371,7018,5617,2041,877,449,1546,2078,5348,7677,8519,7767,11991,11976,19471,16448,4480,1924,1114,767,29,123,284
"(20, 30]",18558,29268,16651,21276,7336,2063,1400,2117,3254,9355,12745,14211,14901,18241,16251,27475,21944,5928,2899,1900,880,465,153,476
"(30, 40]",36362,58334,29589,42384,15491,4940,5042,5868,8064,20948,26300,35930,34953,41213,35246,59577,42133,12186,5503,3714,1700,543,991,1097
"(40, 50]",44706,82598,44774,56403,23979,6921,7130,7979,12404,30180,33803,41118,39692,53664,39768,67979,49828,12011,6492,4839,2341,1345,1165,1453
"(50, 60]",40009,80576,48917,60874,24901,5794,6583,7328,13232,26624,33811,40374,40290,52100,38884,63441,48332,11977,5523,4961,1568,1048,1241,1203
"(60, 70]",36105,73232,43981,54969,24382,5423,3901,7270,10904,22793,24624,34791,32324,43470,32207,51676,38794,9284,4881,4772,1586,1108,1196,728
"(70, 80]",36425,62740,38646,45966,18993,5942,5819,6257,9025,21441,24838,31176,29766,34893,25554,40391,30449,7900,3759,2936,1839,648,862,481
"(80, 90]",31577,60648,31776,39987,16516,4322,4409,5034,7248,16441,18741,24611,22217,26268,18415,29293,21391,5332,3464,2645,1168,513,680,540
"(90, 100]",34191,60864,35335,40628,18087,4532,2869,5128,5687,14208,15642,18902,17526,21362,14650,21054,17303,3928,2177,2237,871,392,497,445
"(100, 110]",28534,48197,31607,39086,18434,4604,3603,4396,7083,13676,16606,18971,18649,20633,13137,18767,14853,3443,1885,2548,707,682,549,566
"(110, 120]",31299,50794,28293,38517,15880,4328,2830,4037,5134,12713,13239,15747,13593,16104,10827,14213,11312,2758,1644,1906,756,240,394,677
"(120, 130]",25046,41155,27452,30597,14249,2824,2223,2393,3559,8256,9124,10583,9210,10301,7241,9507,7182,1745,1022,1225,218,237,163,193
"(130, 140]",18625,31197,18106,21973,12345,2666,1994,1462,2439,5625,6240,6503,5536,6331,4556,6503,4503,1202,547,863,314,108,117,167
"(140, 150]",11226,20935,13321,17757,9879,1985,1041,1401,1700,3731,4097,4404,3515,4412,3017,4533,3035,800,473,506,331,183,187,57
"(150, 160]",8272,13670,9399,9682,5894,1096,855,866,829,2222,2773,2674,2371,2643,1875,2878,1992,448,328,501,161,138,91,93
"(160, 170]",3004,6807,4921,5456,2580,747,718,459,784,1367,1225,1578,1157,1326,1085,1349,1117,245,202,228,86,50,44,31
"(170, 180]",1166,2134,1500,1605,1331,246,347,172,226,482,346,424,434,366,344,422,354,74,38,39,22,19,17,4
"(180, 190]",277,466,485,523,257,92,61,30,73,109,140,119,130,110,64,115,72,33,10,34,7,10,25,5
"(190, 200]",109,95,126,95,86,16,11,7,18,34,37,33,29,33,12,28,23,4,1,9,0,3,6,1
"(200, 210]",1,17,13,27,48,0,1,0,9,2,1,3,3,6,1,7,5,0,0,0,0,1,0,0
"(210, 220]",0,0,9,17,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"(220, 230]",0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(250, 260]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(260, 270]",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(270, 280]",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"(290, 300]",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
