distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(210, 220]","(220, 230]","(230, 240]","(240, 250]","(270, 280]"
"(0, 10]",3045,2086,1396,2001,602,180,264,531,1506,1917,3783,5618,5993,10153,13017,3847,917,540,276,106,88,132,44,344,198
"(10, 20]",8063,10281,5831,2833,1154,553,925,1631,3417,5568,7129,9897,15523,19048,24164,8345,1279,1004,442,240,112,377,113,269,388
"(20, 30]",24718,29926,19440,16581,4927,1251,2559,2433,5723,9090,12445,20828,22997,31976,38711,13501,2071,1597,479,454,210,947,790,156,267
"(30, 40]",41300,61104,30645,34352,9798,3186,3308,7013,11876,19422,28881,45181,48860,64233,71829,24336,4686,2974,951,1658,883,1770,746,792,797
"(40, 50]",51164,82104,41526,43759,16271,5334,5510,9406,18281,28332,38114,49668,61595,80502,87370,28329,6442,3398,1964,2135,1000,2346,870,1149,1055
"(50, 60]",46035,85599,46715,49184,16567,4982,5234,10564,20426,25972,37914,51765,61378,81243,83482,27297,5844,2694,1719,1829,873,2039,1054,1217,1085
"(60, 70]",38153,66845,39823,44829,14891,3542,4403,9071,16766,23274,30879,45319,53495,68375,70575,22778,4654,3204,1664,2368,953,1678,897,889,1014
"(70, 80]",38108,63701,37792,36066,13636,3709,5577,8721,12498,20970,28136,39187,44342,54309,56632,17594,4241,2322,1668,1857,777,1614,599,608,794
"(80, 90]",32539,53208,29945,30268,10925,2711,3520,5403,11084,13871,21156,28030,30000,34358,36535,12039,2512,1334,917,1116,604,952,645,706,428
"(90, 100]",30099,44741,26694,27487,9740,2232,2670,5540,7649,11769,15177,20289,22463,26131,23377,8059,1626,1172,687,780,390,898,391,377,293
"(100, 110]",24585,36756,21827,24509,7999,1994,2793,4952,7259,10442,13689,19130,18859,21573,19431,6071,1691,1211,602,608,252,832,255,386,291
"(110, 120]",24430,35132,19955,22418,8168,1638,2754,3018,5888,8787,12909,14548,14245,16558,15749,4449,967,575,801,427,322,743,366,329,276
"(120, 130]",22062,31576,18662,19139,6275,1192,1478,2200,4127,7014,8989,11235,11004,11204,9976,2744,504,483,587,367,119,413,198,199,144
"(130, 140]",16653,25002,14937,16651,7247,1234,986,1812,3241,5100,5998,8467,8157,8715,7694,2688,636,331,236,330,167,319,233,89,117
"(140, 150]",10875,14680,10641,11974,5134,676,904,1698,2753,4409,5058,6495,5882,6262,6217,1743,475,470,330,203,275,233,77,97,62
"(150, 160]",7993,10029,6902,5780,3030,595,701,846,1633,2793,2795,3156,3853,4297,3764,1021,326,334,161,140,87,167,49,58,73
"(160, 170]",2629,4086,2956,2424,1327,347,431,521,1215,1288,1616,1873,1886,1887,1705,542,132,70,78,150,43,73,56,40,25
"(170, 180]",1465,2059,1648,1090,594,51,163,385,624,581,693,1159,813,852,581,202,53,26,46,65,17,45,15,19,13
"(180, 190]",511,673,352,378,214,42,70,69,217,190,206,161,250,153,168,79,31,45,17,23,5,5,4,3,0
"(190, 200]",179,189,181,190,89,12,51,17,17,90,41,29,69,27,39,10,3,18,0,1,1,0,3,1,0
"(200, 210]",39,39,28,8,17,8,0,1,2,14,17,9,15,14,7,3,0,0,0,0,0,0,2,0,0
"(210, 220]",0,1,2,39,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"(220, 230]",0,0,1,0,27,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"(230, 240]",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(250, 260]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(260, 270]",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(270, 280]",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(290, 300]",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
