distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]"
"(0, 10]",606,540,48,89,241,329,652,450,1005,449,9,0,0,2,0
"(10, 20]",68557,15370,755,1265,3839,7053,10679,10075,8879,4286,349,121,81,159,77
"(20, 30]",95100,21073,1233,1802,5004,11586,17022,14191,14795,7941,693,203,83,638,273
"(30, 40]",8270,5535,551,655,3999,9886,15749,16424,15983,9127,1197,225,127,515,168
"(40, 50]",15328,8340,659,1087,4756,14025,20273,18941,20107,11018,730,77,472,641,261
"(50, 60]",22081,13141,902,1252,5759,16123,25127,23069,23102,11990,1300,175,366,716,472
"(60, 70]",25364,12452,596,2429,7975,15865,27652,27305,27728,15234,1117,215,444,978,705
"(70, 80]",30903,16018,1362,2134,10011,20876,33176,28861,29105,14780,1481,631,262,916,236
"(80, 90]",34470,19450,1602,4228,11141,26497,42972,36356,36307,19726,1891,146,386,983,605
"(90, 100]",41205,18917,1075,4596,11433,26599,42339,33666,32645,16290,1667,502,518,754,232
"(100, 110]",48945,25311,1079,3367,9821,26473,39380,31182,28570,16271,1570,516,308,935,352
"(110, 120]",48183,24048,1427,3318,10375,23059,35334,29331,26224,13176,1170,275,274,709,288
"(120, 130]",43926,24039,1730,2601,9206,21702,35849,29363,24432,13115,1108,254,246,566,461
"(130, 140]",46238,20470,1967,4168,9188,22410,37116,28052,25789,13312,1095,206,220,554,376
"(140, 150]",40853,19575,1641,2816,9170,23613,31624,25023,20434,11651,1195,276,264,593,318
"(150, 160]",36486,19960,1574,3054,7576,21216,30793,24575,21707,10718,995,383,264,662,248
"(160, 170]",36032,18858,1286,3222,8160,19039,28933,21440,16597,9271,1048,339,363,447,354
"(170, 180]",33005,18669,1018,2955,8139,20312,26958,20535,17434,7357,694,301,344,666,280
"(180, 190]",32768,17983,656,2417,6237,15668,21401,16255,13699,7047,935,34,353,323,241
"(190, 200]",22966,14099,864,1718,4128,9945,14161,9902,9174,4493,577,97,214,389,170
"(200, 210]",13230,8770,580,915,1965,5342,6213,4680,3806,2629,226,88,57,79,58
"(210, 220]",4999,3416,229,395,896,1867,2536,1431,1680,1058,41,123,3,44,35
"(220, 230]",1143,973,91,152,219,446,467,448,548,284,15,28,3,13,4
"(230, 240]",149,170,21,9,32,62,102,59,48,91,7,33,0,0,0
"(240, 250]",31,66,0,0,6,1,28,2,5,9,0,10,0,0,0
"(250, 260]",4,5,0,6,0,0,1,0,1,5,0,0,0,0,0
"(260, 270]",4,6,0,0,0,0,1,0,0,0,0,0,0,0,0
"(270, 280]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"(280, 290]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
