distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(200, 210]","(210, 220]","(220, 230]","(230, 240]","(240, 250]","(260, 270]","(280, 290]","(290, 300]"
"(0, 10]",7088,13709,7093,3129,2550,1468,598,738,692,1796,3855,9091,10667,8512,9865,14713,17427,11148,5217,2251,1483,975,614,584,116,436,504,193
"(10, 20]",24227,33500,17287,8977,9288,3726,1403,2089,1729,5477,12761,23732,30653,26673,27606,44402,42591,28361,14389,8038,4495,3103,1911,1903,1060,1191,801,1076
"(20, 30]",45106,56113,34236,16941,14117,6439,1422,2340,2302,7419,16671,32158,34327,31150,34320,50036,51703,34162,15211,10567,5504,4162,2234,1864,887,942,1480,1127
"(30, 40]",45802,65672,33228,18376,15210,7402,2362,2066,2493,8452,17942,33831,38055,32466,33647,49250,47305,28587,15373,8057,5216,3417,2260,2687,567,675,1933,788
"(40, 50]",42682,62229,32564,15492,15874,5805,1858,3678,1826,9628,18520,28895,32310,29474,32366,41460,43916,26301,13089,7122,4776,2845,2224,3548,856,1129,1702,823
"(50, 60]",36571,61248,32130,16072,13504,6215,1664,2014,1690,8538,12899,24943,26716,24128,23598,32480,36186,20913,11065,6667,3859,3067,1917,3084,783,734,1202,586
"(60, 70]",37190,61428,33303,19494,14978,6914,2001,3356,1930,7077,13554,24090,26373,22183,23092,34226,36667,23889,10487,7299,4183,2788,1820,1838,471,663,1551,772
"(70, 80]",37352,64067,37322,22323,19024,8596,1553,2887,2003,8154,16093,29211,27533,23548,28506,38863,40694,25806,12858,8054,4480,3129,2105,2207,884,625,1555,865
"(80, 90]",44593,78179,39470,21563,20289,8672,2011,2757,1868,7606,15244,27157,29199,25733,28143,40703,39637,24131,13544,7436,4712,2689,1891,2717,664,815,1797,632
"(90, 100]",34555,64454,34432,20986,18666,8087,1849,3201,2273,6635,15456,25651,25124,21337,25940,32450,31383,20244,9404,6151,3197,2353,1727,2210,429,437,1322,473
"(100, 110]",33190,51170,28937,16430,14931,6703,1702,2699,2587,7415,13362,21649,24400,20264,20445,28024,25074,14731,7444,4875,2625,2130,1826,2717,466,313,1384,444
"(110, 120]",32464,51004,29079,14989,13397,6206,991,2214,1136,5243,11693,19789,19851,16417,15840,18754,18105,12260,6287,3534,2610,1628,984,1669,505,389,736,310
"(120, 130]",30891,47543,29819,15305,11930,6684,1882,2119,1461,6138,10704,18886,18625,17036,15718,16953,15510,9610,6150,3242,1840,1865,1038,2344,402,424,816,302
"(130, 140]",24984,43278,26469,11514,9871,5261,972,1949,1531,4270,8326,14365,15045,11528,11568,13011,11264,7314,3525,2327,1348,1219,550,1369,161,217,439,200
"(140, 150]",23264,34918,19983,7226,6923,3781,832,1068,897,2972,5915,10257,10563,9167,8436,9395,7469,4972,2625,1705,1146,871,461,896,326,181,328,131
"(150, 160]",20223,30343,15093,5964,5252,3317,898,1573,785,2320,5796,7577,8321,6751,6585,7973,5965,4177,1868,1357,937,1014,405,770,323,140,319,126
"(160, 170]",14369,22100,13825,5572,5140,2790,413,1347,499,1928,3513,5647,6282,5600,4461,4556,3626,2177,1320,931,520,342,360,708,90,136,142,68
"(170, 180]",10199,13437,7984,3353,3035,1368,273,583,450,736,2248,3327,3365,2596,2054,2130,1739,1232,617,476,264,320,63,242,102,58,71,40
"(180, 190]",5085,7814,3898,2189,1426,907,276,290,310,336,939,1397,1194,1088,1030,802,616,522,287,195,95,130,62,44,40,16,28,15
"(190, 200]",1849,2803,1974,764,461,301,140,201,43,130,315,478,577,403,284,254,257,195,127,62,56,26,28,26,10,8,19,1
"(200, 210]",449,1014,727,450,281,37,24,83,12,16,112,142,172,95,184,95,29,46,27,11,24,17,7,10,0,0,5,1
"(210, 220]",211,214,83,50,74,19,3,51,6,10,69,39,52,40,73,24,6,8,14,12,0,2,0,1,0,0,1,0
"(220, 230]",9,12,5,7,27,5,1,0,0,3,8,12,16,11,18,1,0,7,1,7,1,0,0,2,0,0,0,0
"(230, 240]",1,1,0,4,0,5,2,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"(240, 250]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
