distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(200, 210]","(210, 220]","(220, 230]","(230, 240]","(240, 250]","(250, 260]","(260, 270]","(270, 280]","(280, 290]","(290, 300]"
"(0, 10]",2357,8550,7782,4232,1856,718,523,728,289,141,38,393,217,245,514,650,951,1829,2438,2876,3881,3746,2845,2702,3221,2263,1542,2544,1870,726
"(10, 20]",7406,23697,18604,9392,4947,1948,2710,3810,802,312,48,453,923,1250,1173,2236,3909,9181,8325,15684,13199,14119,10504,10674,12712,8190,6331,7999,7304,3355
"(20, 30]",14604,49710,33560,17703,9087,3877,5143,3969,1390,622,369,242,931,2064,1701,2927,4771,11974,13672,20700,18415,21748,14845,12617,17625,12080,10148,11600,9784,5658
"(30, 40]",19473,68235,43228,25227,16414,4684,7395,5526,2193,930,109,687,2059,1745,2901,3742,6489,15399,17747,25168,25399,27950,19601,18072,21871,14849,12670,13120,12010,6675
"(40, 50]",20394,65350,46380,24083,12534,5649,6569,6873,1515,989,485,862,1358,2169,2527,5146,7806,17635,15695,26352,26406,25449,20809,19586,19231,13782,12152,14443,12051,5887
"(50, 60]",20491,58900,44565,23519,12805,7121,7556,8199,2474,1906,177,1527,987,3262,3565,4962,9247,16371,18241,28082,25925,28262,21134,17996,20961,14179,12212,12784,13134,6984
"(60, 70]",17222,63061,47840,22655,12941,7132,8620,9111,2398,1568,243,870,1740,3438,4003,6021,8982,15657,16063,25063,24105,22222,18340,14817,17915,11469,10618,10433,11105,5685
"(70, 80]",13624,53894,46570,24391,13867,8405,9270,7692,3801,1878,450,943,1606,2578,2469,4594,8293,16178,14715,23554,23116,22515,17185,15351,18983,13153,9794,11602,10497,5326
"(80, 90]",18757,74517,51607,27444,14263,5579,9694,7597,2182,1776,335,991,1761,1925,2680,4153,6548,14054,14643,22452,20935,21431,17582,14106,19047,11931,10317,10021,10192,4304
"(90, 100]",16655,66515,56880,26760,12619,7648,8655,8331,2896,1457,362,1739,2055,3533,2358,4400,6421,13084,15256,21815,21235,16361,14252,13923,18486,10392,9452,8916,9153,4454
"(100, 110]",16691,56023,44733,21939,11529,7126,7769,7044,2939,1156,261,1175,1378,2760,1787,4126,7101,12588,13232,18505,17624,16518,13362,13458,14803,8303,6239,7215,7168,3496
"(110, 120]",16320,54329,45499,28886,12648,6366,8755,7437,2147,1583,202,743,1385,1943,1566,4309,7354,12088,12272,18849,18480,15244,12831,10848,13947,7797,6453,7293,6501,3152
"(120, 130]",17151,55729,50868,28275,14554,6203,7654,6680,2214,2023,133,868,1774,2373,2521,4451,5831,10996,11124,18159,15416,14399,11594,9704,12577,7409,6136,6478,5521,2527
"(130, 140]",17686,51529,45476,25185,12427,4782,7001,5525,2227,1576,501,1075,1427,1680,1860,3288,4679,9488,8548,12808,13129,11519,8935,8215,10042,6810,4872,5288,4105,2253
"(140, 150]",16137,52898,42735,23897,10586,5649,5278,5030,1851,1279,275,884,1117,1675,1623,3089,3686,7418,7566,11390,10486,10002,7586,8014,7215,5062,3859,3527,3349,1715
