distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(200, 210]","(210, 220]","(220, 230]","(230, 240]","(240, 250]","(290, 300]"
"(0, 10]",4789,22136,10031,3510,5274,2869,607,247,162,152,24,795,880,2207,1893,2660,5907,6960,10118,13867,21128,29746,21119,3679,1695,500
"(10, 20]",2174,15798,9979,3090,3703,2444,587,346,326,311,312,859,2194,2909,4313,8046,8765,12896,16814,22271,35917,49006,38221,7055,2287,1210
"(20, 30]",4578,29448,20069,5798,6467,5836,1244,531,834,503,323,1326,2989,4714,7105,11268,17366,20648,31853,38752,52835,73008,53260,10142,3549,2722
"(30, 40]",7991,35693,22654,8556,9215,6325,1953,391,821,736,133,2011,2888,5185,7130,10858,19523,22229,27878,34523,50171,70928,55402,10262,3748,2378
"(40, 50]",8192,42081,29604,11823,12637,7290,1835,1062,1541,733,427,1812,3021,5378,8343,9059,16671,18641,24760,32011,42173,59270,47605,9346,3164,2141
"(50, 60]",11568,67115,53876,15855,19087,10412,2086,678,1343,528,474,822,3350,6354,7512,8939,13360,17944,23235,25242,36616,47126,34644,8057,2252,1402
"(60, 70]",13289,63554,44338,14326,17569,9373,2211,909,1364,634,212,1349,3303,5057,7363,8198,14634,17035,20711,22455,29300,38352,30001,6114,1849,1944
"(70, 80]",10061,55728,40925,12916,16426,7860,2131,738,1317,598,251,1538,2894,3985,5570,7925,11866,12981,18061,17819,24902,32314,24666,4549,1561,2164
"(80, 90]",10715,54261,40856,13887,20560,10198,2530,852,1034,757,297,1308,2986,3316,4473,7047,10157,11203,15474,14884,18623,25542,18502,3432,1123,1245
"(90, 100]",9532,55537,36763,11757,15232,8656,2530,591,1108,582,180,1165,2326,2975,4944,6120,8492,9621,11912,11833,14284,18954,13677,2575,997,1409
"(100, 110]",9769,55285,41078,14109,16191,7875,1440,547,915,557,290,1201,1999,2918,3498,5074,7329,8461,11746,10523,12397,17146,11837,2455,1199,806
"(110, 120]",9267,49993,36186,11439,13874,8324,1977,621,879,239,162,1251,1991,3236,3079,5006,6688,7622,9654,9410,11246,14351,10453,1910,757,1033
"(120, 130]",7685,42717,32905,11764,12672,7688,2210,513,422,304,26,1123,2158,2611,3183,4641,6304,6833,8779,8370,10462,12823,9445,1723,858,938
"(130, 140]",10648,48694,32986,11967,13596,8430,2304,344,570,422,80,837,1885,1776,3175,3562,5515,6277,7118,7210,7789,10356,7028,1284,529,735
"(140, 150]",8067,41932,27213,10930,14059,7490,2466,660,699,262,189,689,1687,2468,3333,4478,5495,6901,8631,7160,8508,10535,7031,1132,499,1034
"(150, 160]",7428,37461,24806,10898,14116,6982,1793,574,600,291,169,644,1313,2058,2301,3476,4360,5358,5848,5110,6107,7629,5396,889,282,755
"(160, 170]",5409,30553,20434,8407,10858,5387,1084,249,512,182,98,556,1297,1316,1858,2612,3378,3262,4244,3914,4650,5775,3599,699,313,556
"(170, 180]",4921,27116,18355,6600,7487,4519,833,376,652,99,109,455,873,1566,1486,2310,3045,3398,3975,3686,4201,4975,3382,561,308,652
"(180, 190]",4454,22541,13481,4279,6107,3859,1006,178,493,141,174,409,1022,1332,1589,2322,2986,3125,3687,3317,3645,4673,3280,587,307,364
"(190, 200]",3399,16736,11394,3858,3580,2841,745,145,194,55,64,348,753,1205,1202,1638,2147,2211,3007,2661,2725,3385,2485,461,285,326
"(200, 210]",2961,15523,8659,2656,2690,1897,560,118,228,142,55,429,565,923,965,1216,1685,1758,2201,1963,2242,2450,2116,326,208,177
"(210, 220]",1846,12329,6802,2238,1814,1471,563,133,335,71,51,165,344,653,718,930,1194,1365,1489,1617,1611,1989,1182,256,217,257
"(220, 230]",1492,6893,3716,1125,1366,1158,271,56,112,47,77,111,235,267,400,497,658,897,941,992,1011,1120,753,173,53,151
"(230, 240]",529,2622,1831,560,559,543,127,35,40,11,19,41,150,273,176,285,328,480,434,484,498,462,379,64,33,53
"(240, 250]",207,533,420,384,145,94,70,22,19,27,5,6,103,92,46,84,111,101,108,171,102,104,100,19,8,2
"(250, 260]",21,25,8,57,0,63,98,22,0,0,0,0,1,0,4,9,18,25,24,41,33,20,22,3,17,0
"(260, 270]",0,2,0,4,0,17,80,0,0,0,0,0,0,0,0,0,2,10,5,10,4,1,15,0,14,0
"(270, 280]",0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,3,1,1,3,0,1,0,1,0
"(280, 290]",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,10,0
"(290, 300]",0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5,0
