distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(170, 180]","(180, 190]","(200, 210]","(220, 230]"
"(0, 10]",2265,1354,821,209,1541,1882,1222,1072,1516,2172,3711,3705,1401,588,147,37,39,35,44,166
"(10, 20]",7740,5007,2023,1066,2583,5124,5448,4271,4972,8412,12276,10398,5617,1691,143,31,17,93,210,185
"(20, 30]",13761,9445,4420,2530,4726,7910,7681,9694,11638,16273,22012,19023,10244,3162,385,367,361,202,273,412
"(30, 40]",19359,14548,5700,2842,6067,9372,9742,9441,18172,24535,27480,22006,13211,3921,350,148,123,560,273,524
"(40, 50]",31363,22634,9062,4764,8437,12239,9502,14874,23476,31117,37194,33444,17896,4733,574,241,393,352,219,402
"(50, 60]",37254,27312,9121,4847,8386,15031,14508,16902,25127,34846,38591,33131,19120,5064,923,584,793,614,584,426
"(60, 70]",42408,28771,8052,3770,7421,11953,13138,19042,26829,35262,42600,35848,17558,5538,1064,597,840,465,717,770
"(70, 80]",45019,31279,9270,3124,5241,10896,11447,16086,23740,32133,40540,29816,17185,4144,703,429,432,258,580,590
"(80, 90]",55609,39837,13694,3684,4672,9678,10754,16596,23191,33517,39767,33263,17760,3977,522,657,528,501,618,787
"(90, 100]",52791,40408,10166,1673,4476,8448,10771,15432,23567,33796,39056,31085,17286,4302,838,445,469,359,544,643
"(100, 110]",50554,34453,10136,2940,4700,6981,11242,15145,26206,34380,40227,30912,15742,4304,861,639,498,511,794,572
"(110, 120]",53742,37471,9385,2002,2849,6364,10306,16308,23900,30387,35104,26643,14003,3713,869,286,431,542,755,468
"(120, 130]",62895,47062,11008,2273,2564,4357,7376,12675,19167,24445,28366,20934,11179,3206,498,246,396,605,658,329
"(130, 140]",60394,42490,10418,1837,2258,3506,6329,10998,17914,20984,23413,17575,8921,2762,976,536,418,614,217,250
"(140, 150]",48627,34124,8546,1064,2018,3368,5306,10910,13774,17825,20189,14575,7439,2263,728,547,296,553,323,208
"(150, 160]",37743,26846,7405,1340,1548,3069,5087,8425,11448,13719,15592,11162,5709,1343,462,279,293,297,332,197
"(160, 170]",23662,19281,4200,511,755,1076,3436,6139,8433,9021,10158,6774,3204,912,342,291,226,223,157,78
"(170, 180]",14561,10502,1863,466,535,817,2006,3950,5138,5799,5624,3396,1562,438,120,211,185,139,39,60
"(180, 190]",11667,8616,1725,390,462,562,1154,2156,3970,3219,3105,1975,1097,280,72,79,128,74,65,62
"(190, 200]",6835,4350,915,149,160,362,757,1476,2274,2421,1865,1390,589,158,49,42,41,27,31,10
"(200, 210]",3536,2539,500,141,97,162,431,690,967,924,1107,855,414,151,16,49,111,12,14,47
"(210, 220]",1181,801,269,86,35,149,342,191,407,294,508,326,202,26,3,13,12,53,3,4
"(220, 230]",252,380,162,46,0,37,22,69,85,92,122,66,62,3,0,6,0,4,0,0
"(230, 240]",39,67,3,0,0,2,0,11,19,13,14,17,1,0,2,0,0,0,0,0
"(240, 250]",0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0
"(250, 260]",0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
"(260, 270]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"(270, 280]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(280, 290]",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(290, 300]",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
