distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]"
"(0, 10]",226434,42195,7592,35884,43801,36749,21300,10291,2254,1023,319
"(10, 20]",43803,16700,4996,27443,43813,39275,23658,10986,1129,1093,488
"(20, 30]",28385,12447,3108,18692,31661,27834,14670,7570,1352,454,518
"(30, 40]",38945,13960,3925,24081,32361,30008,17694,7432,1304,543,246
"(40, 50]",42585,16664,4149,22939,38018,30084,16098,7604,1125,964,478
"(50, 60]",36841,16079,3488,24969,36076,30684,17419,7743,1181,683,248
"(60, 70]",39524,18237,4153,24982,34564,31563,18103,8600,762,1140,502
"(70, 80]",41498,17942,4704,25658,35602,32166,17342,9277,1753,1042,579
"(80, 90]",40363,19799,4096,26860,35893,30216,15260,8510,1214,821,316
"(90, 100]",41371,18972,5035,25840,33205,29749,15229,7320,1557,946,512
"(100, 110]",36260,15426,4552,22603,32023,23945,13250,6025,835,698,348
"(110, 120]",34183,14490,2854,20208,25675,21456,11647,5513,878,849,172
"(120, 130]",29486,13629,2554,15634,22702,20351,10042,5531,562,275,125
"(130, 140]",25588,11866,2741,14865,19233,17040,9068,4400,760,373,107
"(140, 150]",19349,10296,2001,11170,14954,12690,7656,4053,593,273,43
"(150, 160]",14893,7678,1947,8892,12412,11306,6362,2591,556,187,23
"(160, 170]",9706,4721,1020,7684,8788,7258,4176,2132,256,58,62
"(170, 180]",5819,2366,1197,4275,5413,4341,2067,999,147,163,33
"(180, 190]",2824,1253,614,3112,3304,1566,1208,483,110,64,13
"(190, 200]",740,467,190,1069,1075,690,510,214,8,36,3
"(200, 210]",267,191,34,296,251,240,150,123,7,0,2
"(210, 220]",77,7,29,42,63,52,19,3,2,0,0
"(220, 230]",11,0,0,3,42,0,1,0,0,0,0
"(230, 240]",0,0,0,1,0,0,0,2,0,0,0
