distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(200, 210]","(220, 230]","(250, 260]","(260, 270]"
"(0, 10]",4502,4519,4521,3601,0,243,604,1629,1777,4190,3717,3360,6553,8495,8699,6822,2024,165,448,148,53,322,86,260
"(10, 20]",15144,14691,11167,6115,970,2035,3275,5048,6433,11891,11077,11888,20192,28806,25015,17392,5749,1154,1156,308,305,183,626,691
"(20, 30]",22869,21441,20329,12839,1674,2519,4078,7891,12347,21904,21156,22505,36470,43961,38639,24903,7830,1693,1238,511,574,536,744,1165
"(30, 40]",28908,29419,26729,17177,2961,3313,6221,13981,17094,24781,31322,27608,45379,53309,48929,30269,9743,2387,999,806,458,745,755,1632
"(40, 50]",43578,40169,31501,18759,4554,4103,7014,11693,17110,27866,33439,34234,51729,57095,49377,33284,9460,3331,1084,488,807,727,635,1707
"(50, 60]",55317,49044,42809,23627,3915,3005,7217,12688,18183,28751,31684,28169,49249,53750,46015,30751,9471,2550,1438,508,884,802,1071,1824
"(60, 70]",70748,65201,45084,23370,2283,4041,7736,12056,17044,27665,29510,27219,46979,50159,41669,28013,8292,2910,1019,519,707,674,861,1663
"(70, 80]",58237,59446,44159,25818,4005,5702,8489,14599,17301,27316,31313,29097,40688,47919,40601,25542,8419,1722,1175,758,793,462,427,1687
"(80, 90]",52502,50220,41033,24195,4549,6084,10118,15579,18299,32793,33762,32043,47550,51375,42909,29730,8926,2706,1410,909,938,1080,511,2129
"(90, 100]",43379,45759,43570,26752,4856,5263,8668,13909,17308,30053,31416,26500,41613,42873,37886,23316,6658,2590,1105,871,461,791,935,1789
"(100, 110]",37373,38482,39889,26990,4039,4491,9417,13590,15547,24696,26088,22527,35791,36550,30618,20517,6524,2058,1690,765,700,528,724,1278
"(110, 120]",25936,27912,29688,19990,3053,3147,5808,9284,11546,18577,19505,18379,25323,26230,19926,13743,4558,1116,960,608,403,572,325,1161
"(120, 130]",18798,23747,24355,16747,2483,2402,4603,8073,9493,13144,14457,14622,18540,19297,13623,9380,2882,1005,667,427,518,456,332,747
"(130, 140]",14972,15818,16026,11244,1990,2708,3682,6848,7342,9508,10912,10085,13195,13684,9751,6782,2228,1098,687,261,153,292,294,259
"(140, 150]",11517,12836,11953,8197,1590,1143,2610,4251,5007,6983,6889,5935,8367,7243,5764,4357,1080,493,318,110,163,157,148,273
"(150, 160]",6939,7455,7583,5276,611,762,1130,2359,2337,3163,3463,3418,4341,3945,3260,2429,579,185,68,93,80,142,65,143
"(160, 170]",4480,5359,4460,2701,482,577,626,1190,1270,1737,1788,1707,2155,2435,1614,1222,396,109,78,100,30,66,53,127
"(170, 180]",2472,2551,2156,1600,207,418,323,1106,672,991,962,845,1188,1386,825,765,259,31,52,11,35,14,4,85
"(180, 190]",1159,1262,863,549,55,65,298,345,419,744,304,529,611,567,458,300,92,68,25,0,6,30,3,60
"(190, 200]",471,693,442,239,52,23,115,169,260,138,134,131,228,336,185,229,68,20,12,0,12,0,4,23
"(200, 210]",246,309,198,80,2,0,74,118,65,69,31,88,60,70,49,79,37,9,14,0,0,6,1,5
"(210, 220]",2,82,59,23,6,0,4,31,5,7,2,29,34,29,27,7,2,28,0,0,0,0,0,0
"(220, 230]",0,8,0,0,0,0,5,0,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0
"(260, 270]",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(270, 280]",0,0,0,35,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"(280, 290]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"(290, 300]",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
