distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(200, 210]","(210, 220]","(220, 230]","(230, 240]","(240, 250]","(250, 260]","(260, 270]","(280, 290]","(290, 300]"
"(0, 10]",1709,1433,1170,812,1681,566,48,0,13,369,998,778,708,1584,2179,2169,2836,4932,7370,7719,4523,1691,506,115,0,375,30,15,450
"(10, 20]",5146,11531,6221,5680,7283,2106,1099,728,611,1381,1261,2400,2700,5572,7068,9847,10393,16163,20158,21183,12245,2913,961,179,539,459,145,116,954
"(20, 30]",10892,37363,19059,12025,18985,7023,2848,950,1070,3212,3856,5530,4841,11268,15905,17885,16443,28445,34837,39372,22829,5086,2378,214,586,589,442,417,1141
"(30, 40]",25343,78663,40262,20385,39414,13869,5746,3524,3187,5494,6393,10558,10369,19528,30240,31691,31314,54831,63688,67378,39384,9002,3459,1002,863,1312,376,710,2930
"(40, 50]",24784,88578,55996,35234,60408,22615,6471,2932,5352,5286,8494,13248,16415,24602,33906,39263,33599,61559,73008,79415,41314,10764,4550,1043,691,1952,706,517,3884
"(50, 60]",19895,78627,50488,33740,60204,24231,9333,4302,4448,7293,11897,16854,18312,27526,36602,45422,41268,71572,86473,83164,44100,11755,4032,1109,1067,2541,1461,1142,3883
"(60, 70]",19687,76248,46179,30444,59981,22540,7837,3537,3403,5231,9911,14824,13900,24276,35315,36347,36105,62376,70090,70630,38182,8618,3286,738,1091,2258,850,721,3458
"(70, 80]",17672,70147,39748,25684,55666,21117,7918,3248,5286,5129,7682,12116,14087,20498,31423,31586,32312,53147,59786,60368,31506,7849,3691,850,1007,1619,949,1215,2771
"(80, 90]",19030,73298,39484,26988,50216,18939,7184,2962,3496,4715,7437,10600,12939,16159,25327,26602,23257,39859,43058,44070,21615,5432,2376,1104,355,1992,565,896,1878
"(90, 100]",18422,67021,34760,23357,47010,17260,5982,2766,3590,4703,6809,9248,10198,17556,24610,24986,20677,35789,31611,34178,17851,5011,1298,358,345,1175,764,947,1599
"(100, 110]",17512,60621,35157,23262,46449,16810,5356,2509,3009,3462,5858,8464,9378,15186,21075,21666,19885,28919,28424,28674,13600,3782,1243,537,407,887,335,561,1823
"(110, 120]",16486,61992,30803,21680,43325,14987,5385,2195,2480,3243,4917,6192,8250,13376,16495,14836,14014,22600,21798,21913,10502,2915,1164,586,489,1101,339,533,1353
"(120, 130]",17783,59890,31937,20629,41238,14769,5013,2265,2004,3132,4671,6053,6523,11385,14395,13972,12424,19426,17547,17371,8951,2109,980,247,475,829,445,282,1117
"(130, 140]",14816,48376,29923,18077,36814,15531,5163,2030,1986,2256,3650,5039,5227,8691,12369,11105,9443,14623,13538,14228,6558,1897,795,200,158,517,382,227,939
"(140, 150]",12347,43001,24892,16638,32490,14232,4723,1501,2147,2569,3457,4725,5717,8676,10661,10739,8451,13510,12069,11381,6285,1493,353,97,205,663,135,303,980
"(150, 160]",11925,35825,20070,12956,23034,10113,3859,1055,1316,2488,2787,4701,4634,7673,10175,9055,7442,10986,11020,10184,5160,1815,678,165,123,496,214,367,789
"(160, 170]",10242,27992,16439,9722,17107,7930,2359,912,1280,1968,2565,3426,3379,5354,7485,5688,5093,8146,6937,6830,3576,847,299,242,97,434,115,379,336
"(170, 180]",8090,19417,11443,7634,11347,5877,2668,622,1332,1094,1617,2193,2468,3651,4589,4049,3468,5744,5253,4945,2018,859,248,141,190,240,117,285,356
"(180, 190]",4424,11856,6033,4570,7641,3713,1110,630,635,846,1223,1761,1825,2239,3279,2938,2520,3110,3408,3242,1435,542,144,46,93,109,116,182,172
"(190, 200]",2600,6747,3417,2838,4519,2457,863,320,546,726,476,908,1000,1297,1643,1472,1215,1931,1721,1569,779,256,78,27,11,162,79,32,81
"(200, 210]",1085,3663,2055,1559,2552,1588,465,263,259,340,224,427,404,528,662,660,587,677,673,629,428,106,33,111,75,32,25,18,81
"(210, 220]",247,691,820,384,954,666,251,135,71,86,82,120,129,198,216,114,90,180,198,197,91,26,9,24,3,1,5,8,21
"(220, 230]",54,123,238,94,297,202,26,31,20,14,18,21,31,57,58,23,12,33,31,54,18,2,2,1,0,3,1,14,0
"(230, 240]",0,28,44,34,68,24,13,1,0,6,10,3,3,10,3,0,9,5,3,6,1,0,0,0,0,5,0,1,0
"(240, 250]",0,0,0,0,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"(250, 260]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"(270, 280]",0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(280, 290]",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
