distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]"
"(0, 10]",3570,2602,1534,3090,4273,2865,3839,3349,3646,2678,1169,0
"(10, 20]",13324,8535,5595,17289,19180,15432,17564,17897,22836,12458,4205,235
"(20, 30]",34996,17095,14732,34478,32258,29827,27211,32440,31780,23870,6147,565
"(30, 40]",36689,25386,16109,35591,34015,28751,32414,40159,38878,29898,8352,280
"(40, 50]",37180,23171,13289,30275,29493,27570,27891,34786,40387,29415,8179,168
"(50, 60]",34646,23829,12894,30939,26577,27094,27131,34808,30988,26107,6763,428
"(60, 70]",36380,22314,13119,28723,25395,24248,24725,30633,30419,22366,5395,699
"(70, 80]",38479,24471,13599,31075,23637,22917,27179,29676,32643,24320,6325,660
"(80, 90]",45190,30904,16066,42723,38341,34672,32610,38529,38829,28981,7209,664
"(90, 100]",52914,29056,19491,41669,36553,30790,29289,38869,38445,28826,7673,557
"(100, 110]",44504,25597,17713,36430,31088,25880,28243,31920,30954,25012,6341,592
"(110, 120]",42654,25486,16840,35003,28543,24364,26281,30035,30248,23619,7177,913
"(120, 130]",44794,27517,18243,32562,24292,19148,21687,26834,24584,22025,5473,594
"(130, 140]",45323,30065,18597,31145,30078,22498,23891,27767,26128,22193,5724,474
"(140, 150]",47333,28216,20186,33833,29472,26805,24434,29593,28731,22482,6411,478
"(150, 160]",45989,28580,16804,31601,25214,20637,21699,22237,25529,19006,5531,398
"(160, 170]",46272,28153,15128,28761,25673,18995,17708,22668,23638,16467,4421,162
"(170, 180]",43645,23326,12289,23214,19236,13534,13784,17750,18471,13671,3515,418
"(180, 190]",21595,17337,7751,12212,10704,8156,9169,10269,11265,8577,2097,286
"(190, 200]",15210,11783,5986,7818,6993,5156,4805,4859,6441,4471,1354,114
"(200, 210]",8808,8406,4313,4719,3947,2564,2734,3113,3875,2641,941,31
"(210, 220]",3720,3745,2129,1869,1457,673,1270,1233,1676,921,357,11
"(220, 230]",781,691,452,740,291,127,115,129,199,199,23,9
"(230, 240]",52,204,54,66,153,38,7,9,16,31,0,0
"(240, 250]",27,21,8,0,2,9,0,0,0,0,0,0
"(250, 260]",0,0,0,0,14,0,0,0,0,0,0,0
"(260, 270]",0,0,1,1,24,0,0,0,0,0,0,0
"(270, 280]",0,0,0,0,3,0,0,0,0,0,0,0
