distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]"
"(0, 10]",13234,7909,4300,1577,2741,6413,12461,13580,11322,7727,16312,14768,9569,2609,1210,833,318
"(10, 20]",28927,24536,12639,3768,7473,18764,33822,37752,32166,20840,40990,35055,25000,4951,4338,910,649
"(20, 30]",43209,33953,21818,9624,13085,32930,53062,54469,41682,27278,51185,49325,34534,8199,5998,600,976
"(30, 40]",76093,45925,27404,8877,13441,30873,55923,52632,37258,26866,46344,44988,27904,8192,7289,834,434
"(40, 50]",109646,56531,29743,9750,14980,32585,54410,52001,37177,27403,48438,43509,25088,7703,5313,754,768
"(50, 60]",91923,48401,26124,8174,9885,26788,42564,41205,28302,16954,36987,32367,19034,6557,4462,261,724
"(60, 70]",62784,38515,25197,6688,9040,20985,33370,30638,22255,14079,25390,22801,14507,5440,3061,491,575
"(70, 80]",55152,32255,21576,5304,6865,16190,27845,24121,15296,9815,19376,15656,10357,2757,2704,537,534
"(80, 90]",47808,28323,15460,5055,7865,13541,20437,21014,12065,8268,14823,13071,8172,2218,1888,183,439
"(90, 100]",42182,27245,15243,5623,7847,14693,25926,24177,17791,10898,17245,15411,9693,3290,3050,309,827
"(100, 110]",42862,23349,15103,4824,6857,14700,24746,22145,15552,11149,20277,16160,9659,3519,2741,688,337
"(110, 120]",31750,18312,12962,3682,5434,10962,18519,15645,11784,7939,13454,11505,6923,1786,1619,137,239
"(120, 130]",22903,13156,8284,2086,2721,6688,11682,10894,6553,4475,8175,6340,4288,1405,1136,134,104
"(130, 140]",13562,8528,6475,1843,1809,4508,5823,5758,3357,2385,3784,3427,2315,407,375,72,175
"(140, 150]",7206,4389,3535,878,794,2272,3355,2179,1793,986,1710,1365,967,444,250,15,103
"(150, 160]",3099,2065,1331,783,363,1118,1394,1106,593,485,865,590,518,201,99,0,0
"(160, 170]",1393,917,712,255,123,362,613,323,323,289,246,235,96,32,70,0,39
"(170, 180]",794,418,709,218,141,146,77,128,76,86,51,92,28,15,30,0,0
"(180, 190]",261,156,270,29,90,70,96,53,76,42,32,65,21,16,24,1,0
"(190, 200]",72,204,90,18,25,24,35,25,4,54,9,33,23,18,0,0,0
"(200, 210]",1,0,23,0,0,0,4,3,2,0,0,1,0,0,0,0,0
"(210, 220]",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(230, 240]",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"(290, 300]",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
