distance_bin,"(0, 10]","(10, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(70, 80]","(80, 90]","(90, 100]","(100, 110]","(110, 120]","(120, 130]","(130, 140]","(140, 150]","(150, 160]","(160, 170]","(170, 180]","(180, 190]","(190, 200]","(200, 210]","(210, 220]","(260, 270]","(280, 290]"
"(0, 10]",2949,1806,874,401,460,452,78,48,954,1036,1480,2394,3314,6680,9386,11171,11298,7958,7365,4081,1347,726,120
"(10, 20]",6839,5216,3547,2832,1323,1694,478,600,2435,2594,3992,5563,8437,15965,25130,32393,28371,25218,20455,9039,4586,1142,671
"(20, 30]",10206,7982,6317,3683,1560,1647,268,586,3372,2960,4293,6694,8249,18724,26753,34233,29827,28364,21160,10579,4455,2036,932
"(30, 40]",18277,19471,16712,11749,4211,2024,507,1532,3542,4643,7410,9693,10878,22024,35737,42308,37501,33014,25770,12048,5205,2610,1521
"(40, 50]",13334,13573,10070,7787,2408,1566,409,761,3076,3400,5464,7049,7847,17586,26938,34737,30647,26634,20140,9881,5275,1358,1514
"(50, 60]",14658,13628,8809,7538,2050,1882,0,537,3114,2494,5607,5839,6967,15566,23122,29612,23903,23213,16498,9165,3352,1944,740
"(60, 70]",13414,12696,8997,6184,1837,1581,152,345,3182,2997,5864,5600,8313,14332,20386,24847,22339,19851,16581,7683,3092,1141,826
"(70, 80]",12503,12269,7422,4299,2197,1397,319,382,1880,2390,4595,5369,6483,13960,19318,23652,19029,17925,13112,6684,2954,2323,753
"(80, 90]",15721,14323,8074,5594,1781,794,295,501,1511,2450,4109,4283,6155,11106,18018,21141,17863,13427,10132,5456,2245,1874,714
"(90, 100]",15810,16181,7771,5209,2393,742,272,463,1646,2483,3176,3927,4577,9783,14861,18366,14749,12844,9133,4521,1988,1350,594
"(100, 110]",14107,16703,7819,4952,1160,1012,267,645,1164,1632,3188,3330,4142,8440,13560,15138,12640,10293,7438,3543,1457,1144,710
"(110, 120]",11886,16753,6908,4542,1128,751,139,876,1830,1451,2525,2838,4236,7143,11098,13000,10522,10225,7313,3742,1387,791,683
"(120, 130]",12801,13372,7206,4369,964,1119,152,400,1398,1405,2704,2381,3673,6353,9542,11198,9943,8374,5426,2899,1147,808,377
"(130, 140]",12041,15548,7384,4971,1317,585,165,411,1847,1043,3475,3016,3801,7620,11415,12787,9745,9335,5709,2709,1417,1478,400
"(140, 150]",14521,14645,9746,6987,1915,729,126,593,1663,1289,4106,3311,5044,6618,11859,11143,11238,9361,6159,2827,1207,1154,264
"(150, 160]",24676,22885,10288,5757,1429,1369,322,796,2477,1974,4656,4049,7070,8551,12001,13598,11670,9434,7140,3768,1171,1034,432
"(160, 170]",25050,22524,7332,6259,1451,892,222,602,1697,1563,3193,3895,4276,7332,8863,10770,8174,7942,5421,2388,880,1122,398
"(170, 180]",19748,17281,6690,5267,1512,1230,331,282,1335,1084,2791,2745,3644,5744,7478,8371,6878,5607,3239,1891,788,685,353
"(180, 190]",15752,13506,6538,4252,1217,764,98,281,843,859,1917,1848,1718,3492,4500,4710,3898,3068,2165,1020,459,603,395
"(190, 200]",9149,8775,5867,2399,587,288,150,82,538,532,939,1484,1381,2098,3331,3891,3521,2543,1430,701,323,346,162
"(200, 210]",5387,6574,2907,1176,462,491,65,11,175,395,733,519,913,1055,2097,1935,1932,1377,1000,470,208,135,38
"(210, 220]",2782,2924,1422,640,165,84,0,73,167,34,231,234,296,657,577,781,715,597,372,194,50,98,16
"(220, 230]",572,588,363,326,36,92,0,22,27,5,14,16,11,211,263,417,159,105,44,22,13,17,0
"(230, 240]",85,28,1,53,0,0,0,0,1,0,0,4,2,36,34,79,12,17,3,1,0,0,37
"(240, 250]",0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,6,5,0,0,0,0
"(250, 260]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
