distance_bin,traffic_bin,reception_probability,data_count,5k_reception_probability,2500_reception_probability,max_dist_NM,distance_avg,traffic_avg,CR,airport,sensor_id,type
"(0, 10]","(30, 40]",0.8681318681318682,7189,0.868,0.8688,267.08061636304103,5.0,35.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(40, 50]",0.8465985120162715,18683,0.8448,0.844,267.08061636304103,5.0,45.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(50, 60]",0.836912362159025,31014,0.8346,0.832,267.08061636304103,5.0,55.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(60, 70]",0.8430388552121634,20126,0.8322,0.832,267.08061636304103,5.0,65.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(70, 80]",0.8326702033598585,4524,0.8326702033598585,0.8326702033598585,267.08061636304103,5.0,75.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(100, 110]",0.8509151414309484,3005,0.8509151414309484,0.8509151414309484,267.08061636304103,5.0,105.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(120, 130]",0.8322732626619552,4245,0.8322732626619552,0.8322732626619552,267.08061636304103,5.0,125.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(130, 140]",0.8123652048885693,2782,0.8123652048885693,0.8123652048885693,267.08061636304103,5.0,135.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(160, 170]",0.7993819211949523,3883,0.7993819211949523,0.7993819211949523,267.08061636304103,5.0,165.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(170, 180]",0.7829645347074872,3299,0.7829645347074872,0.7829645347074872,267.08061636304103,5.0,175.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(180, 190]",0.8298597953770368,2639,0.8298597953770368,0.8298597953770368,267.08061636304103,5.0,185.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(190, 200]",0.7821443827424178,4682,0.7821443827424178,0.7821443827424178,267.08061636304103,5.0,195.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(200, 210]",0.7855477855477856,4719,0.7855477855477856,0.7855477855477856,267.08061636304103,5.0,205.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(210, 220]",0.7783641160949868,6064,0.7794,0.7708,267.08061636304103,5.0,215.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(220, 230]",0.8057985932406931,5829,0.8082,0.8128,267.08061636304103,5.0,225.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(230, 240]",0.8187507426624946,25247,0.815,0.8132,267.08061636304103,5.0,235.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(240, 250]",0.789011520180456,24826,0.7868,0.7816,267.08061636304103,5.0,245.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(250, 260]",0.8025528520143598,20056,0.7996,0.7944,267.08061636304103,5.0,255.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(260, 270]",0.8032630575272804,9439,0.8114,0.8048,267.08061636304103,5.0,265.0,267.08061636304103,41,-1408231729,dump1090
"(0, 10]","(270, 280]",0.7855917667238422,4664,0.7855917667238422,0.7855917667238422,267.08061636304103,5.0,275.0,267.08061636304103,41,-1408231729,dump1090
