distance_bin,traffic_bin,reception_probability,data_count,5k_reception_probability,2500_reception_probability,max_dist_NM
"(0, 10]","(0, 10]",0.7598391266877335,3481,0.7598391266877335,0.7598391266877335,270.9285009862717
"(0, 10]","(10, 20]",0.6998173667607505,6023,0.7018,0.7004,270.9285009862717
"(0, 10]","(20, 30]",0.710207880856345,3223,0.710207880856345,0.710207880856345,270.9285009862717
"(0, 10]","(30, 40]",0.7407407407407407,1782,0.7407407407407407,0.7407407407407407,270.9285009862717
"(0, 10]","(40, 50]",0.7595744680851064,1880,0.7595744680851064,0.7595744680851064,270.9285009862717
"(0, 10]","(50, 60]",0.5545171339563862,321,0.5545171339563862,0.5545171339563862,270.9285009862717
"(0, 10]","(70, 80]",0.4083769633507853,382,0.4083769633507853,0.4083769633507853,270.9285009862717
"(0, 10]","(80, 90]",0.5680345572354212,463,0.5680345572354212,0.5680345572354212,270.9285009862717
"(0, 10]","(90, 100]",0.589825119236884,1258,0.589825119236884,0.589825119236884,270.9285009862717
"(0, 10]","(100, 110]",0.48055555555555557,720,0.48055555555555557,0.48055555555555557,270.9285009862717
"(0, 10]","(110, 120]",0.5743243243243243,2516,0.5743243243243243,0.5743243243243243,270.9285009862717
"(0, 10]","(120, 130]",0.5218722659667542,2286,0.5218722659667542,0.5218722659667542,270.9285009862717
"(0, 10]","(130, 140]",0.5376106194690266,3164,0.5376106194690266,0.5376106194690266,270.9285009862717
"(0, 10]","(140, 150]",0.5306666666666666,2250,0.5306666666666666,0.5306666666666666,270.9285009862717
"(0, 10]","(150, 160]",0.5475472732255412,3649,0.5475472732255412,0.5475472732255412,270.9285009862717
"(0, 10]","(160, 170]",0.6060212259042669,4617,0.6060212259042669,0.6060212259042669,270.9285009862717
"(0, 10]","(170, 180]",0.6599944781888459,7244,0.654,0.6564,270.9285009862717
"(0, 10]","(180, 190]",0.6187736314318593,6083,0.6178,0.6128,270.9285009862717
"(0, 10]","(190, 200]",0.5951989477145676,3041,0.5951989477145676,0.5951989477145676,270.9285009862717
"(0, 10]","(200, 210]",0.576978417266187,1390,0.576978417266187,0.576978417266187,270.9285009862717
"(0, 10]","(220, 230]",0.37735849056603776,212,0.37735849056603776,0.37735849056603776,270.9285009862717
"(0, 10]","(230, 240]",0.25333333333333335,75,0.25333333333333335,0.25333333333333335,270.9285009862717
