distance_bin,traffic_bin,reception_probability,data_count,5k_reception_probability,2500_reception_probability,max_dist_NM
"(0, 10]","(0, 10]",0.06124277258495783,218785,0.0654,0.0716,235.74003039961434
"(0, 10]","(10, 20]",0.14945880492265112,40466,0.1532,0.1468,235.74003039961434
"(0, 10]","(20, 30]",0.3716886292623285,7361,0.3762,0.3724,235.74003039961434
"(0, 10]","(30, 40]",0.44274019819043514,34815,0.4472,0.4416,235.74003039961434
"(0, 10]","(40, 50]",0.4757732202908161,42226,0.468,0.4676,235.74003039961434
"(0, 10]","(50, 60]",0.4941977585473117,35245,0.5044,0.4936,235.74003039961434
"(0, 10]","(60, 70]",0.530177282325787,20363,0.5228,0.5156,235.74003039961434
"(0, 10]","(70, 80]",0.5207118439573698,9946,0.5162,0.5216,235.74003039961434
"(0, 10]","(80, 90]",0.7149383280036546,2189,0.7149383280036546,0.7149383280036546,235.74003039961434
"(0, 10]","(90, 100]",0.448692152917505,994,0.448692152917505,0.448692152917505,235.74003039961434
"(0, 10]","(100, 110]",0.37987012987012986,308,0.37987012987012986,0.37987012987012986,235.74003039961434
"(10, 20]","(0, 10]",0.9604764982916243,43316,0.9572,0.9588,235.74003039961434
"(10, 20]","(10, 20]",0.9423449612403101,16512,0.9378,0.938,235.74003039961434
"(10, 20]","(20, 30]",0.91316697098803,4929,0.91316697098803,0.91316697098803,235.74003039961434
"(10, 20]","(30, 40]",0.9010014411884262,27061,0.9004,0.9052,235.74003039961434
"(10, 20]","(40, 50]",0.8803480445757625,42983,0.8708,0.8732,235.74003039961434
"(10, 20]","(50, 60]",0.8595090748348848,38458,0.8606,0.8612,235.74003039961434
"(10, 20]","(60, 70]",0.8381926092795564,23083,0.836,0.8428,235.74003039961434
"(10, 20]","(70, 80]",0.8172551200074136,10791,0.8314,0.8412,235.74003039961434
"(10, 20]","(80, 90]",0.7673357664233577,1096,0.7673357664233577,0.7673357664233577,235.74003039961434
"(10, 20]","(90, 100]",0.8745387453874539,1084,0.8745387453874539,0.8745387453874539,235.74003039961434
"(10, 20]","(100, 110]",0.821656050955414,471,0.821656050955414,0.821656050955414,235.74003039961434
"(20, 30]","(0, 10]",0.9584075208318495,28082,0.9598,0.9604,235.74003039961434
"(20, 30]","(10, 20]",0.9540211210398051,12310,0.9558,0.9524,235.74003039961434
"(20, 30]","(20, 30]",0.9048550016291952,3069,0.9048550016291952,0.9048550016291952,235.74003039961434
"(20, 30]","(30, 40]",0.8904831784336105,18399,0.8882,0.892,235.74003039961434
"(20, 30]","(40, 50]",0.8597667074821164,31034,0.8546,0.8604,235.74003039961434
"(20, 30]","(50, 60]",0.8318864037669217,27184,0.833,0.83,235.74003039961434
"(20, 30]","(60, 70]",0.8176025766699342,14282,0.8172,0.814,235.74003039961434
"(20, 30]","(70, 80]",0.8229265003371544,7415,0.8236,0.826,235.74003039961434
"(20, 30]","(80, 90]",0.7854435178165277,1319,0.7854435178165277,0.7854435178165277,235.74003039961434
"(20, 30]","(90, 100]",0.8265765765765766,444,0.8265765765765766,0.8265765765765766,235.74003039961434
"(20, 30]","(100, 110]",0.8722986247544204,509,0.8722986247544204,0.8722986247544204,235.74003039961434
"(30, 40]","(0, 10]",0.955739110106756,38499,0.9528,0.9548,235.74003039961434
"(30, 40]","(10, 20]",0.927231753416691,13756,0.9292,0.928,235.74003039961434
"(30, 40]","(20, 30]",0.9138867339022498,3867,0.9138867339022498,0.9138867339022498,235.74003039961434
"(30, 40]","(30, 40]",0.8730707598886733,23714,0.8704,0.8784,235.74003039961434
"(30, 40]","(40, 50]",0.8397030953885029,31660,0.8354,0.8508,235.74003039961434
"(30, 40]","(50, 60]",0.808475790766711,29307,0.8264,0.8096,235.74003039961434
"(30, 40]","(60, 70]",0.7797463956922008,17271,0.7658,0.758,235.74003039961434
"(30, 40]","(70, 80]",0.7744990392533626,7286,0.7722,0.7748,235.74003039961434
"(30, 40]","(80, 90]",0.7415287628053585,1269,0.7415287628053585,0.7415287628053585,235.74003039961434
"(30, 40]","(90, 100]",0.8472998137802608,537,0.8472998137802608,0.8472998137802608,235.74003039961434
"(30, 40]","(100, 110]",0.8050847457627118,236,0.8050847457627118,0.8050847457627118,235.74003039961434
"(40, 50]","(0, 10]",0.9696890638711667,42163,0.9702,0.9712,235.74003039961434
"(40, 50]","(10, 20]",0.9529290603986188,16507,0.9508,0.9532,235.74003039961434
"(40, 50]","(20, 30]",0.9115995115995116,4095,0.9115995115995116,0.9115995115995116,235.74003039961434
