distance_bin,traffic_bin,reception_probability,data_count,5k_reception_probability,2500_reception_probability,max_dist_NM
"(0, 10]","(0, 10]",0.49278846153846156,832,0.49278846153846156,0.49278846153846156,256.93435864746107
"(0, 10]","(10, 20]",0.38161106590724164,1229,0.38161106590724164,0.38161106590724164,256.93435864746107
"(0, 10]","(20, 30]",0.46698970321017563,1651,0.46698970321017563,0.46698970321017563,256.93435864746107
"(0, 10]","(30, 40]",0.523645743766122,2326,0.523645743766122,0.523645743766122,256.93435864746107
"(0, 10]","(40, 50]",0.39787542250120717,2071,0.39787542250120717,0.39787542250120717,256.93435864746107
"(0, 10]","(50, 60]",0.6218876664736538,1727,0.6218876664736538,0.6218876664736538,256.93435864746107
"(0, 10]","(60, 70]",0.4013452914798206,1338,0.4013452914798206,0.4013452914798206,256.93435864746107
"(0, 10]","(70, 80]",0.4296724470134875,519,0.4296724470134875,0.4296724470134875,256.93435864746107
"(0, 10]","(80, 90]",0.5157068062827225,764,0.5157068062827225,0.5157068062827225,256.93435864746107
"(0, 10]","(90, 100]",0.3929098966026588,677,0.3929098966026588,0.3929098966026588,256.93435864746107
"(0, 10]","(100, 110]",0.386748844375963,649,0.386748844375963,0.386748844375963,256.93435864746107
"(0, 10]","(110, 120]",0.5482517482517483,715,0.5482517482517483,0.5482517482517483,256.93435864746107
"(0, 10]","(120, 130]",0.6101786681104494,1847,0.6101786681104494,0.6101786681104494,256.93435864746107
"(0, 10]","(130, 140]",0.40060111635895235,2329,0.40060111635895235,0.40060111635895235,256.93435864746107
"(0, 10]","(140, 150]",0.3559870550161812,5871,0.495,0.3744,256.93435864746107
"(0, 10]","(150, 160]",0.45379081350304373,5421,0.4546,0.6684,256.93435864746107
"(0, 10]","(160, 170]",0.3677570093457944,4280,0.3677570093457944,0.3677570093457944,256.93435864746107
"(0, 10]","(170, 180]",0.37422105608396194,3049,0.37422105608396194,0.37422105608396194,256.93435864746107
"(0, 10]","(180, 190]",0.2829827915869981,2092,0.2829827915869981,0.2829827915869981,256.93435864746107
"(0, 10]","(190, 200]",0.6559590316573557,2148,0.6559590316573557,0.6559590316573557,256.93435864746107
"(0, 10]","(200, 210]",0.5632333767926988,2301,0.5632333767926988,0.5632333767926988,256.93435864746107
"(0, 10]","(210, 220]",0.40426387771520517,2486,0.40426387771520517,0.40426387771520517,256.93435864746107
"(0, 10]","(220, 230]",0.3657760814249364,3144,0.3657760814249364,0.3657760814249364,256.93435864746107
"(0, 10]","(230, 240]",0.6533219761499148,1174,0.6533219761499148,0.6533219761499148,256.93435864746107
"(0, 10]","(240, 250]",0.10294117647058823,68,0.10294117647058823,0.10294117647058823,256.93435864746107
"(0, 10]","(250, 260]",0.5606796116504854,412,0.5606796116504854,0.5606796116504854,256.93435864746107
"(0, 10]","(260, 270]",0.4856512141280353,453,0.4856512141280353,0.4856512141280353,256.93435864746107
"(0, 10]","(270, 280]",0.1590909090909091,88,0.1590909090909091,0.1590909090909091,256.93435864746107
"(0, 10]","(280, 290]",0.5941176470588235,170,0.5941176470588235,0.5941176470588235,256.93435864746107
"(0, 10]","(290, 300]",0.0,53,0.0,0.0,256.93435864746107
"(10, 20]","(0, 10]",0.45558007200092904,8611,0.457,0.45,256.93435864746107
"(10, 20]","(10, 20]",0.4266477145208349,13367,0.4608,0.4628,256.93435864746107
"(10, 20]","(20, 30]",0.6377235772357723,6150,0.6342,0.6352,256.93435864746107
"(10, 20]","(30, 40]",0.3514097316962256,8796,0.495,0.436,256.93435864746107
"(10, 20]","(40, 50]",0.47452521283562543,7635,0.476,0.4864,256.93435864746107
"(10, 20]","(50, 60]",0.7610070693290338,8063,0.7604,0.6504,256.93435864746107
"(10, 20]","(60, 70]",0.7017163806032328,6001,0.7054,0.7736,256.93435864746107
"(10, 20]","(70, 80]",0.4924595557992871,3647,0.4924595557992871,0.4924595557992871,256.93435864746107
"(10, 20]","(80, 90]",0.4111977971546581,2179,0.4111977971546581,0.4111977971546581,256.93435864746107
"(10, 20]","(90, 100]",0.6305643182614792,2853,0.6305643182614792,0.6305643182614792,256.93435864746107
"(10, 20]","(100, 110]",0.67387451258419,2821,0.67387451258419,0.67387451258419,256.93435864746107
"(10, 20]","(110, 120]",0.5428372416995588,4307,0.5428372416995588,0.5428372416995588,256.93435864746107
"(10, 20]","(120, 130]",0.5230233262647682,6602,0.5958,0.588,256.93435864746107
"(10, 20]","(130, 140]",0.36284066043365826,10054,0.7444,0.7432,256.93435864746107
"(10, 20]","(140, 150]",0.5786595394736842,24320,0.6608,0.6372,256.93435864746107
"(10, 20]","(150, 160]",0.35164452405831714,20097,0.5842,0.638,256.93435864746107
"(10, 20]","(160, 170]",0.352175838777544,18062,0.3562,0.5652,256.93435864746107
"(10, 20]","(170, 180]",0.4403390567267985,13803,0.631,0.6168,256.93435864746107
"(10, 20]","(180, 190]",0.4477650392889347,7763,0.4442,0.446,256.93435864746107
"(10, 20]","(190, 200]",0.3393290218270008,9896,0.3448,0.6768,256.93435864746107
"(10, 20]","(200, 210]",0.4806138933764136,11142,0.4508,0.4516,256.93435864746107
"(10, 20]","(210, 220]",0.46631895332390383,11312,0.4678,0.4628,256.93435864746107
"(10, 20]","(220, 230]",0.3334968809139973,14267,0.3126,0.3184,256.93435864746107
"(10, 20]","(230, 240]",0.5882208287224886,8133,0.5864,0.5856,256.93435864746107
"(10, 20]","(240, 250]",0.7380787836903939,1447,0.7380787836903939,0.7380787836903939,256.93435864746107
"(10, 20]","(250, 260]",0.6219839142091153,1492,0.6219839142091153,0.6219839142091153,256.93435864746107
"(10, 20]","(260, 270]",0.5983667409057164,1347,0.5983667409057164,0.5983667409057164,256.93435864746107
"(10, 20]","(270, 280]",0.35706580366774543,927,0.35706580366774543,0.35706580366774543,256.93435864746107
"(10, 20]","(280, 290]",0.6288265306122449,784,0.6288265306122449,0.6288265306122449,256.93435864746107
"(10, 20]","(290, 300]",0.6701183431952663,676,0.6701183431952663,0.6701183431952663,256.93435864746107
"(20, 30]","(0, 10]",0.4340387783550881,7891,0.4224,0.5016,256.93435864746107
"(20, 30]","(10, 20]",0.4118656371675576,15153,0.4122,0.416,256.93435864746107
"(20, 30]","(20, 30]",0.5152227884489743,7653,0.5188,0.5436,256.93435864746107
"(20, 30]","(30, 40]",0.7333984375,13312,0.7056,0.6948,256.93435864746107
"(20, 30]","(40, 50]",0.6059555555555556,11250,0.6714,0.6664,256.93435864746107
"(20, 30]","(50, 60]",0.7004405286343612,8399,0.4954,0.7216,256.93435864746107
"(20, 30]","(60, 70]",0.6499733617474693,7508,0.6588,0.6588,256.93435864746107
"(20, 30]","(70, 80]",0.6864666258420086,3266,0.6864666258420086,0.6864666258420086,256.93435864746107
"(20, 30]","(80, 90]",0.6592279855247286,4974,0.6592279855247286,0.6592279855247286,256.93435864746107
"(20, 30]","(90, 100]",0.6915668922436231,3842,0.6915668922436231,0.6915668922436231,256.93435864746107
"(20, 30]","(100, 110]",0.6896870664405734,6487,0.6846,0.6848,256.93435864746107
"(20, 30]","(110, 120]",0.35967344423906344,6492,0.4726,0.34,256.93435864746107
"(20, 30]","(120, 130]",0.32904931182207636,10971,0.352,0.344,256.93435864746107
"(20, 30]","(130, 140]",0.36040725713848276,13063,0.3314,0.4188,256.93435864746107
"(20, 30]","(140, 150]",0.354302075876879,34925,0.4574,0.5844,256.93435864746107
"(20, 30]","(150, 160]",0.3651550356541944,24962,0.367,0.6908,256.93435864746107
"(20, 30]","(160, 170]",0.34451911522542167,22469,0.4894,0.5696,256.93435864746107
"(20, 30]","(170, 180]",0.36691393040253084,18334,0.4148,0.6932,256.93435864746107
"(20, 30]","(180, 190]",0.44945509207065015,13305,0.4442,0.4528,256.93435864746107
"(20, 30]","(190, 200]",0.44203236850295674,12852,0.4164,0.4132,256.93435864746107
"(20, 30]","(200, 210]",0.38424311436908404,14051,0.3696,0.3804,256.93435864746107
"(20, 30]","(210, 220]",0.4199884459849798,15579,0.4216,0.5668,256.93435864746107
"(20, 30]","(220, 230]",0.35840215545012594,17073,0.3654,0.6468,256.93435864746107
"(20, 30]","(230, 240]",0.36347794185086674,10903,0.3354,0.6348,256.93435864746107
"(20, 30]","(240, 250]",0.4943820224719101,2670,0.4943820224719101,0.4943820224719101,256.93435864746107
"(20, 30]","(250, 260]",0.3016317016317016,2145,0.3016317016317016,0.3016317016317016,256.93435864746107
"(20, 30]","(260, 270]",0.5066876475216365,1271,0.5066876475216365,0.5066876475216365,256.93435864746107
"(20, 30]","(270, 280]",0.413968253968254,1575,0.413968253968254,0.413968253968254,256.93435864746107
"(20, 30]","(280, 290]",0.6971109040074557,1073,0.6971109040074557,0.6971109040074557,256.93435864746107
"(20, 30]","(290, 300]",0.39572192513368987,935,0.39572192513368987,0.39572192513368987,256.93435864746107
"(30, 40]","(0, 10]",0.4180802039415629,10199,0.4174,0.4172,256.93435864746107
"(30, 40]","(10, 20]",0.4398510242085661,21480,0.4038,0.648,256.93435864746107
"(30, 40]","(20, 30]",0.35304915357944117,9806,0.349,0.352,256.93435864746107
"(30, 40]","(30, 40]",0.7514479101249041,14331,0.661,0.7608,256.93435864746107
"(30, 40]","(40, 50]",0.7617931799963001,16217,0.7384,0.6572,256.93435864746107
"(30, 40]","(50, 60]",0.7667013361068885,12499,0.8284,0.8276,256.93435864746107
"(30, 40]","(60, 70]",0.740695881964325,9082,0.6854,0.6812,256.93435864746107
"(30, 40]","(70, 80]",0.4653506066214271,4863,0.4653506066214271,0.4653506066214271,256.93435864746107
"(30, 40]","(80, 90]",0.800243790949261,6563,0.6918,0.6828,256.93435864746107
"(30, 40]","(90, 100]",0.5118175765645806,6008,0.5922,0.6492,256.93435864746107
"(30, 40]","(100, 110]",0.4730649277005954,7054,0.5314,0.7756,256.93435864746107
"(30, 40]","(110, 120]",0.4631457370852583,9524,0.7564,0.4256,256.93435864746107
"(30, 40]","(120, 130]",0.37223796033994333,14120,0.378,0.366,256.93435864746107
"(30, 40]","(130, 140]",0.4015518913676043,17527,0.4658,0.3912,256.93435864746107
"(30, 40]","(140, 150]",0.3734380046207736,40253,0.344,0.3452,256.93435864746107
"(30, 40]","(150, 160]",0.3717790071334983,27476,0.3708,0.504,256.93435864746107
"(30, 40]","(160, 170]",0.35229776214586633,25873,0.348,0.3372,256.93435864746107
"(30, 40]","(170, 180]",0.37723767867610586,22177,0.426,0.4048,256.93435864746107
"(30, 40]","(180, 190]",0.3855501413703904,16623,0.7242,0.7352,256.93435864746107
"(30, 40]","(190, 200]",0.41484430710720227,16828,0.3762,0.3644,256.93435864746107
"(30, 40]","(200, 210]",0.4282170908876159,16933,0.3884,0.354,256.93435864746107
"(30, 40]","(210, 220]",0.35784578782307774,18494,0.3602,0.362,256.93435864746107
"(30, 40]","(220, 230]",0.37570351998473717,20966,0.349,0.2792,256.93435864746107
"(30, 40]","(230, 240]",0.44216564513594214,12726,0.2952,0.302,256.93435864746107
"(30, 40]","(240, 250]",0.43581514762516044,3116,0.43581514762516044,0.43581514762516044,256.93435864746107
"(30, 40]","(250, 260]",0.7764608599779493,3628,0.7764608599779493,0.7764608599779493,256.93435864746107
"(30, 40]","(260, 270]",0.3670387393302692,1523,0.3670387393302692,0.3670387393302692,256.93435864746107
"(30, 40]","(270, 280]",0.29283276450511947,1465,0.29283276450511947,0.29283276450511947,256.93435864746107
"(30, 40]","(280, 290]",0.609105180533752,1274,0.609105180533752,0.609105180533752,256.93435864746107
"(30, 40]","(290, 300]",0.6365489130434783,1472,0.6365489130434783,0.6365489130434783,256.93435864746107
"(40, 50]","(0, 10]",0.40910926269886133,12383,0.4434,0.4412,256.93435864746107
"(40, 50]","(10, 20]",0.4251140978938994,23883,0.4208,0.3988,256.93435864746107
"(40, 50]","(20, 30]",0.5508653053749657,10921,0.5532,0.766,256.93435864746107
"(40, 50]","(30, 40]",0.5143335815338794,16116,0.7538,0.7484,256.93435864746107
"(40, 50]","(40, 50]",0.7556685366993923,17112,0.76,0.7576,256.93435864746107
"(40, 50]","(50, 60]",0.6698743847792551,13613,0.7056,0.696,256.93435864746107
"(40, 50]","(60, 70]",0.5126783604471508,11003,0.5042,0.6712,256.93435864746107
"(40, 50]","(70, 80]",0.7250084146751935,5942,0.683,0.6884,256.93435864746107
"(40, 50]","(80, 90]",0.34547008547008545,5850,0.4786,0.6316,256.93435864746107
"(40, 50]","(90, 100]",0.5745065541660389,6637,0.761,0.4956,256.93435864746107
"(40, 50]","(100, 110]",0.36795357650402655,8444,0.4912,0.47,256.93435864746107
"(40, 50]","(110, 120]",0.44620734622908065,9202,0.451,0.6788,256.93435864746107
"(40, 50]","(120, 130]",0.3538451728095906,15682,0.4294,0.5412,256.93435864746107
"(40, 50]","(130, 140]",0.3821503618958674,17132,0.4164,0.3904,256.93435864746107
"(40, 50]","(140, 150]",0.3678758883366622,43058,0.2938,0.3476,256.93435864746107
