distance_bin,traffic_bin,reception_probability,data_count,5k_reception_probability,2500_reception_probability,max_dist_NM
"(0, 10]","(0, 10]",0.864020831543876,221203,0.064,0.0688,235.74003039961434
"(0, 10]","(10, 20]",0.7616109599689079,41168,0.0,0.1528,235.74003039961434
"(0, 10]","(20, 30]",0.5745454545454546,7425,0.5726,0.5748,235.74003039961434
"(0, 10]","(30, 40]",0.5135119742574822,35117,0.4962,0.4992,235.74003039961434
"(0, 10]","(40, 50]",0.47598079400398174,42695,0.4424,0.4396,235.74003039961434
"(0, 10]","(50, 60]",0.44850470430107525,35712,0.4814,0.424,235.74003039961434
"(0, 10]","(60, 70]",0.3828516377649326,20760,0.4574,0.382,235.74003039961434
"(0, 10]","(70, 80]",0.5450477326968973,10056,0.4294,0.3932,235.74003039961434
"(0, 10]","(80, 90]",0.15711060948081265,2215,0.15711060948081265,0.15711060948081265,235.74003039961434
"(0, 10]","(90, 100]",0.3962075848303393,1002,0.3962075848303393,0.3962075848303393,235.74003039961434
"(0, 10]","(100, 110]",0.8681672025723473,311,0.8681672025723473,0.8681672025723473,235.74003039961434
"(10, 20]","(0, 10]",0.2309022175095662,43382,0.0278,0.9616,235.74003039961434
"(10, 20]","(10, 20]",0.043536098681823676,16538,0.0454,0.0476,235.74003039961434
"(10, 20]","(20, 30]",0.44374619906750457,4933,0.44374619906750457,0.44374619906750457,235.74003039961434
"(10, 20]","(30, 40]",0.6268816410861865,27104,0.6426,0.9268,235.74003039961434
"(10, 20]","(40, 50]",0.19579528070094107,43142,0.0926,0.1136,235.74003039961434
"(10, 20]","(50, 60]",0.13215950284826514,38620,0.0928,0.1828,235.74003039961434
"(10, 20]","(60, 70]",0.11197010694498132,23283,0.1132,0.1024,235.74003039961434
"(10, 20]","(70, 80]",0.46520214140668265,10834,0.383,0.8496,235.74003039961434
"(10, 20]","(80, 90]",0.11420863309352518,1112,0.11420863309352518,0.11420863309352518,235.74003039961434
"(10, 20]","(90, 100]",0.8745387453874539,1084,0.8745387453874539,0.8745387453874539,235.74003039961434
"(10, 20]","(100, 110]",0.8598326359832636,478,0.8598326359832636,0.8598326359832636,235.74003039961434
"(20, 30]","(0, 10]",0.4211892737748062,28118,0.9542,0.9568,235.74003039961434
"(20, 30]","(10, 20]",0.4817459029693331,12326,0.8202,0.9588,235.74003039961434
"(20, 30]","(20, 30]",0.8985035783994795,3074,0.8985035783994795,0.8985035783994795,235.74003039961434
"(20, 30]","(30, 40]",0.24445649227432908,18445,0.3272,0.276,235.74003039961434
"(20, 30]","(40, 50]",0.16009370086320315,31163,0.12,0.1044,235.74003039961434
"(20, 30]","(50, 60]",0.16127852545348156,27344,0.1546,0.154,235.74003039961434
"(20, 30]","(60, 70]",0.1259793385564723,14423,0.1174,0.1356,235.74003039961434
"(20, 30]","(70, 80]",0.19965091299677765,7448,0.1946,0.5088,235.74003039961434
"(20, 30]","(80, 90]",0.1277235161532682,1331,0.1277235161532682,0.1277235161532682,235.74003039961434
"(20, 30]","(90, 100]",0.843400447427293,447,0.843400447427293,0.843400447427293,235.74003039961434
"(20, 30]","(100, 110]",0.931640625,512,0.931640625,0.931640625,235.74003039961434
"(30, 40]","(0, 10]",0.0,38579,0.847,0.846,235.74003039961434
"(30, 40]","(10, 20]",0.26991952439643296,13793,0.4352,0.0344,235.74003039961434
"(30, 40]","(20, 30]",0.43070967741935484,3875,0.43070967741935484,0.43070967741935484,235.74003039961434
"(30, 40]","(30, 40]",0.3003491943287475,23769,0.2216,0.6148,235.74003039961434
"(30, 40]","(40, 50]",0.3080041482040162,31821,0.3304,0.3364,235.74003039961434
"(30, 40]","(50, 60]",0.17303317374622254,29451,0.1318,0.1324,235.74003039961434
"(30, 40]","(60, 70]",0.15531413462091165,17397,0.1584,0.3684,235.74003039961434
"(30, 40]","(70, 80]",0.4501366120218579,7320,0.4448,0.3776,235.74003039961434
"(30, 40]","(80, 90]",0.0,1283,0.0,0.0,235.74003039961434
"(30, 40]","(90, 100]",0.8472998137802608,537,0.8472998137802608,0.8472998137802608,235.74003039961434
"(30, 40]","(100, 110]",0.24481327800829875,241,0.24481327800829875,0.24481327800829875,235.74003039961434
"(40, 50]","(0, 10]",0.03623394473671738,42198,0.9674,0.9648,235.74003039961434
"(40, 50]","(10, 20]",0.7794865584887382,16516,0.717,0.7204,235.74003039961434
"(40, 50]","(20, 30]",0.846435546875,4096,0.846435546875,0.846435546875,235.74003039961434
"(40, 50]","(30, 40]",0.6637383012537524,22652,0.8552,0.6868,235.74003039961434
"(40, 50]","(40, 50]",0.17979388049340525,37454,0.7332,0.7664,235.74003039961434
"(40, 50]","(50, 60]",0.1838640901553352,29549,0.1486,0.1464,235.74003039961434
